entity_id,state,last_changed
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T21:12:28.945Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T21:17:15.359Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T21:26:48.133Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T21:31:34.500Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T21:36:20.944Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T21:45:53.793Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T21:50:40.203Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-24T21:55:26.631Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T22:00:13.072Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T22:04:59.483Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-24T22:14:32.354Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T22:19:18.744Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T22:24:05.111Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T22:28:51.478Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T22:43:10.617Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T22:47:56.985Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T22:52:43.339Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T22:57:29.660Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T23:02:16.018Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-24T23:07:02.423Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T23:11:48.895Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T23:21:21.820Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T23:26:08.225Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-24T23:30:54.680Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T23:35:41.108Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-24T23:40:27.560Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T23:45:13.952Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T23:50:00.386Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-24T23:59:33.373Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T00:04:19.885Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T00:09:06.354Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T00:13:52.815Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T00:18:39.211Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T00:23:25.593Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T00:26:55.648Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T00:31:42.097Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T00:36:28.546Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T00:46:01.570Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T00:50:48.103Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T00:53:20.939Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T00:58:07.514Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T01:02:54.055Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T01:07:40.698Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.078,2026-07-25T01:11:10.927Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.104,2026-07-25T01:15:57.604Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T01:20:44.236Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T01:35:04.378Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T01:41:26.899Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T01:43:21.682Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T01:48:08.669Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T01:57:42.769Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T02:00:54.137Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T02:05:41.277Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T02:13:20.700Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T02:17:10.404Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T02:20:21.835Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T02:29:56.248Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T02:34:43.550Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T02:39:30.851Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T02:44:18.196Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T02:49:05.553Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T02:53:52.946Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T02:58:40.357Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T03:03:27.769Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T03:08:15.213Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T03:13:02.646Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T03:17:50.098Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T03:22:37.614Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.082,2026-07-25T03:27:25.137Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T03:32:12.694Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T03:37:00.279Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T03:41:47.819Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T03:46:35.408Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T03:56:10.503Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.08,2026-07-25T04:00:58.102Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T04:05:45.781Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T04:10:33.447Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T04:15:21.108Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T04:20:08.943Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T04:24:56.834Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T04:29:44.755Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T04:34:32.775Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T04:39:20.784Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T04:44:08.814Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T04:45:06.439Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T04:49:54.587Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T04:54:42.647Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T04:59:30.785Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T05:04:18.898Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-25T05:09:07.018Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T05:13:55.090Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T05:18:43.196Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T05:23:31.269Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T05:31:12.204Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.082,2026-07-25T05:38:53.192Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T05:43:41.370Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T05:53:17.672Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T05:58:05.718Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.084,2026-07-25T06:01:36.969Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T06:06:25.009Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T06:10:15.473Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T06:15:03.588Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T06:24:01.356Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T06:32:59.122Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T06:37:47.231Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T06:42:35.384Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T06:47:23.495Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T06:52:11.687Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.104,2026-07-25T06:56:59.870Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T07:01:47.945Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T07:06:36.053Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T07:11:24.178Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T07:16:12.411Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T07:21:00.566Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T07:25:48.825Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T07:30:37.034Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T07:35:25.279Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.104,2026-07-25T07:40:13.541Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T07:45:01.884Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T07:49:50.235Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-25T07:54:38.570Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T07:59:26.958Z
